model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,total_4bit_macs_per_frame,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
yolov5s_seg,263,175,214,99,7611485.0,26360524800.0,13211780400.0,0.0,26360524800.0,13211780400.0,,92.34,512,1024,128,256.0,131.5,post_placement,95,389,108.21 Megabytes/sec,108.21 Megabytes/sec,591.42 Megabytes/sec,591.42 Megabytes/sec,18.40,95,256,94,160,10,28,1420992,567808,512,1,1,64,False,False,True,False,False,0,0,N/A,hailo8,,,,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,lcu_util,l3_util,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util,boundary_in_bytes,boundary_out_bytes,inter_context_in_bytes,inter_context_out_bytes,ddr_portals_in_bytes,ddr_portals_out_bytes
contexts_total,0.05652239839711411,0.08831526850259004,,,,0.513671875,0.8489946260260208,0.9801165926999603,0.9782427179641533,0.2624317104235802,0.9125475285171103,0.20486800692313178,0.09603187824521801,,no runtime data,no runtime data,N/A,0.5885795366074565,0.9196453314916578,,no runtime data,no runtime data,no runtime data,no runtime data,no runtime data,1228800.0,6716000.0,0.0,0.0,0.0,0.0
yolov5s_seg_context_0,0.056522398397114114,0.08831526850259006,,0.734375,0.3798828125,0.513671875,0.8489946260260208,0.9801165926999603,0.9782427179641532,0.2624317104235802,0.9125475285171103,0.20486800692313178,0.09603187824521803,,92.33859732592039,0.0108297075,0.0075700275,0.5885795366074565,0.9196453314916578,,single context,,,,,1228800.0,6716000.0,0.0,0.0,0.0,0.0

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,is_4bit_enhanced,is_smuffer_in,is_smuffer_out
normalization1,normalization,640,640,3,3,1,1,,,input_layer1,conv1,0,1228800.0,,1088.78,367383,,1,1,1,8,1,1,1,,1,1,False,,False,,113.4656753540039,302.57513427734375,yolov5s_seg/normalization1,0,0,1,10.585455000000001,0,3,0.557456374168396,0.418092280626297,0.04727736070228762,6,5120,yolov5s_seg_context_0,False,0.010588025,0,2457600.0,0,8,0.0,255.0,0.003921568859368563,0.003921568859368563,0.0,1.0,8,8,16,0.557456374168396,1.0,0.375,0.08480907725347152,1.0,0.017729010263357856,False,False,False
conv1,conv,640,640,32,3,6,6,2,2,normalization1,conv2,3488.0,357171200,,92.34,4331883,2764800.0,5.0,3.0,4.0,644,4,8.0,,1,1,1,False,,False,combined (SUPER_CONV),1249.5451431274414,6398.322175979614,,0.0,0.0,3.0,10.84847,0,644,0.2782594203948975,0.033728415767351784,0.26002548480796295,13.0,16256,yolov5s_seg_context_0,False,0.01085571,3488,707788800,0,8,0.0,1.0,-13.844256401062012,10.462957382202148,-0.40937936305999756,51.7864875793457,8,8,16,0.6956485509872437,1.0,1.0,0.934471452714674,0.4,0.6500637120199074,False,False,False
conv2,conv,320,320,64,32,3,3,2,2,conv1,conv3 conv4,18496.0,473497600.0,,116.54,3432346,2457600.0,3,1,1,24,3,2,1,1,1,1,False,,False,,302.57513427734375,170.19851684570312,yolov5s_seg/conv2,0,0,1,10.830275,0,22,0.8163687586784363,0.06712610274553299,0.6468457350706138,4,11520,yolov5s_seg_context_0,False,0.01089025,18496.0,943718400.0,23040,8,-0.40937936305999756,51.7864875793457,-1.3677836656570435,1.0659370422363281,-0.41550934314727783,105.53937530517578,8,8,16,0.8163687586784363,1.0,0.8888888888888888,0.7923450379430839,1.0,0.5749739867294344,False,False,False
conv3,conv,160,160,32,64,1,1,1,1,conv2,concat1,2080.0,53248000.0,,406.23,984661,819200.0,1,1,1,32,4,4,1,1,1,1,False,,False,,151.28756713867188,75.64378356933594,yolov5s_seg/conv3,0,0,1,10.7772775,0,32,0.8579602241516113,0.103995181620121,0.19501911115174386,4,5120,yolov5s_seg_context_0,False,0.0109056325,2080.0,104857600.0,0,8,-0.41550934314727783,105.53937530517578,-1.032558798789978,0.5101445317268372,-0.683563232421875,24.217668533325195,8,8,16,0.8579602241516113,1.0,1.0,0.22730553895384523,1.0,0.19501911115174386,False,False,False
conv4,conv,160,160,32,64,1,1,1,1,conv2,conv5 ew_add1,2080.0,53248000.0,,406.23,984661,819200.0,1,1,1,32,4,1,1,1,1,1,False,,False,,151.28756713867188,75.64378356933594,yolov5s_seg/conv4,0,0,1,10.7788775,0,32,0.8579602241516113,0.103995181620121,0.19501911115174386,1,5120,yolov5s_seg_context_0,False,0.0109072325,2080.0,104857600.0,0,8,-0.41550934314727783,105.53937530517578,-1.098171591758728,0.19555547833442688,-0.2911243438720703,6.457666873931885,8,8,16,0.8579602241516113,1.0,1.0,0.22730553895384523,1.0,0.19501911115174386,False,False,False
conv5,conv,160,160,32,32,1,1,1,1,conv4,conv6,1056.0,27033600.0,,693.65,576661,409600.0,1,1,1,32,4,1,1,1,1,1,False,,False,,75.64378356933594,75.64378356933594,yolov5s_seg/conv5,0,0,1,10.77092,0,32,0.7546895146369934,0.17757399380207062,0.10046439624525483,128,256,yolov5s_seg_context_0,False,0.0109162575,1056.0,52428800.0,0,8,-0.2911243438720703,6.457666873931885,-5.096344470977783,6.282147407531738,-0.3118055760860443,15.590278625488281,8,8,16,0.7546895146369934,1.0,1.0,0.13312016968140644,1.0,0.10046439624525483,False,False,True
conv6,conv,160,160,32,32,3,3,1,1,conv5,ew_add1,9248.0,236748800.0,,187.63,2131867,1843200.0,2,1,1,16,2,1,1,1,1,1,False,,False,,75.64378356933594,75.64378356933594,yolov5s_seg/conv6,0,0,1,10.82709,0,16,0.8829631209373474,0.04803301393985748,0.4345361912460101,6,5120,yolov5s_seg_context_0,False,0.0109729025,9248.0,471859200.0,20480,8,-0.3118055760860443,15.590278625488281,-0.7448262572288513,0.8048264384269714,-0.3376884460449219,16.884422302246094,8,8,16,0.8829631209373474,1.0,1.0,0.4921340211635448,1.0,0.4345361912460101,False,True,False
ew_add1,ew_add,160,160,32,32,,,,,conv4 conv6,concat1,0,409600.0,,1285.27,311219,,1,1,1,32,0,1,0.0,,,,False,,False,,75.64378356933594,0.0,yolov5s_seg/ew_add1,1,0,1,10.7309,0,32,0.6580575108528137,0.32902875542640686,0.047277361939392595,6,5120,yolov5s_seg_context_0,False,0.0109777625,0,819200.0,0,8,N/A,N/A,N/A,N/A,-0.792142927646637,28.06449317932129,8,8,16,0.6580575108528137,1.0,1.0,0.07184381480293904,1.0,0.047277361939392595,False,False,False
concat1,concat,160|160,160|160,64,32|32,,,,,ew_add1 conv3,conv7,0,0,,1596.25,250587,,1,1,1,64,0,1,1,,,,False,,False,,75.64378356933594,0.0,yolov5s_seg/concat1,0,0,1,10.753975,0,64,0.8172810077667236,0.8172810077667236,0.04727736088284009,64,512,yolov5s_seg_context_0,False,0.0110056975,0,0,0,8,N/A,N/A,N/A,N/A,-0.792142927646637,28.06449317932129,8,8,8,0.8172810077667236,1.0,1.0,0.05784713022027604,0.0,0.04727736088284009,False,False,True
conv7,conv,160,160,64,64,1,1,1,1,concat1,conv8,4160.0,106496000.0,,204.08,1960021,1638400.0,1,1,1,64,8,2,1,1,1,1,False,,False,,151.28756713867188,151.28756713867188,yolov5s_seg/conv7,0,0,1,10.7566625,0,64,0.8620315790176392,0.10448867827653885,0.39003823453628184,6,10240,yolov5s_seg_context_0,False,0.0110085825,4160.0,209715200.0,0,8,-0.792142927646637,28.06449317932129,-1.3157962560653687,1.1463569402694702,-0.32435423135757446,16.21771240234375,8,8,16,0.8620315790176392,1.0,1.0,0.4524639746733695,1.0,0.39003823453628184,False,True,False
